,title,price
559,Belenggu Hiro,Rp 107.100
560,Selanjutnya Kita Tahu Apa Yang Terjadi Dalam Adegan Di Film itu,Rp 45.000
561,Face Claim,Rp 107.100
562,Capital Letters,Rp 89.550
563,Macbeth Keadilan Itu Busuk Dan Kebusukan Itu Adil (2023),Rp 54.000
564,Nyonya Dalloway,Rp 88.500
565,Marveluna,Rp 99.000
566,Perhitungan Aneh Di Penginapan (Kumpulan Cerita Pendek Johann,Rp 45.000
567,Arga Bad Senior (New Cover),Rp 89.100
568,Kontrakan Nyai Suman,Rp 89.100
569,Mengapa Ada Sedih Di Bumi?,Rp 75.000
570,"Seri Aku Cinta Allah, Aku Cinta Islam",Rp 40.500
571,Surat untuk Bapak,Rp 49.300
572,Petualangan Alice Di Negeri Ajaib,Rp 50.000
573,Alice Menembus Cermin,Rp 53.550
574,Ganeeta,Rp 103.500
575,Atharrazka,Rp 84.150
576,Aksaranita,Rp 89.100
577,Sang Dewi Iblis,Rp 76.500
578,Kematian Halpin Frasyser,Rp 54.000
579,Tuan Besar Gatsby,Rp 71.550
580,Novel Grafis: Tidak Jatuh Cinta,Rp 85.500
581,Beautiful Uncertainties,Rp 75.000
582,Yang Katanya Cemara,Rp 99.000
583,Lovesick,Rp 84.150
584,Romansa dan Putih Abu-Abu,Rp 99.500
585,Escapism,Rp 89.550
586,Wordsworth Classic : Finnegans Wake,Rp 88.000
587,Miracle,Rp 89.000
588,The Summers,Rp 157.500
589,Di Kaki Bukit Cibalak,Rp 55.200
590,Rana Renjana,Rp 80.100
591,"Belajar Hadits dari Cerita : Yuk, Sayangi Hewan",Rp 29.250
592,Buku Cerita Sunnah Sesuai Waktu: Sunnah Pagi Hari,Rp 54.400
593,"Damba, Lara, dan Cinta - Enam Cerita Perempuan Asia",Rp 75.600
594,I'm A Good Girl,Rp 89.100
595,Strong Girl,Rp 80.100
596,Hickory Dickory Dock (Pembunuhan di Pondokan Mahasiswa),Rp 55.200
597,O : Tentang seekor Monyet yang ingin menikah dengan Kaisar Dangdut,Rp 30.000
598,Aku Juga Manusia,Rp 86.400
599,"Philautia, Semua Berhak Bahagia, Termasuk Aku Dan Kamu",Rp 58.650
600,Petaka Gunung Tampomas,Rp 160.000
601,Candala,Rp 79.200
602,Yes Mr.Husband Semester 2,Rp 80.550
603,Broken Vessel,Rp 89.100
604,Seri Aku Cinta Allah : Aku Cinta Allah,Rp 40.500
605,"Kakakku, Bongsoon",Rp 109.650
606,Cita-Cita Titik Dua Petani !,Rp 75.650
607,Bila Sedih Agni Bernyanyi,Rp 72.000
608,No Choice,Rp 55.250
609,"Unit 183, I Love You",Rp 89.550
610,Gus Ilham My Husband,Rp 84.150
611,Arfan,Rp 84.150
612,Ther Melian: Chronicle (Collector Edition),Rp 57.500
613,Novel Grafis: Tidak Jatuh Cinta,Rp 85.500
614,Beautiful Uncertainties,Rp 75.000
615,Yang Katanya Cemara,Rp 99.000
616,Lovesick,Rp 84.150
617,Romansa dan Putih Abu-Abu,Rp 99.500
618,Escapism,Rp 89.550
619,Wordsworth Classic : Finnegans Wake,Rp 88.000
620,Buku Cerita Sunnah Sesuai Waktu: Sunnah Sebelum Tidur,Rp 68.000
621,Lupus: Drakuli Kuper,Rp 55.200
622,Lelaki Di Sudut Kafe,Rp 81.000
623,Ca-Bau-Kan (Hanya Sebuah Dosa),Rp 96.000
624,Peniru dan Pembunuhan Tanpa Jasad,Rp 125.000
625,Perjuangan Dan Perlawanan Seorang Feminis Mesir,Rp 70.000
626,Novel The Martyr,Rp 145.000
627,Putri Teladan (The Good Daughter),Rp 122.400
628,Dengannya Tanpamu,Rp 89.910
629,City Lite: Secangkir Kopi dan Pencakar Langit,Rp 80.000
630,Fight For Happiness,Rp 89.910
631,Muhammad: Sang Pewaris Hujan,Rp 179.000
632,Demi Pencitraan (Sex and Vanity),Rp 85.600
633,Stigma,Rp 89.100
634,Jihad Lipstik,Rp 135.000
635,Kamu Harus Bahagia,Rp 62.100
636,Indonesia Mengglobal,Rp 80.100
637,Fathur,Rp 89.100
638,Sabai,Rp 89.100
639,Anno 2020,Rp 35.000
640,Tekad,Rp 79.200
641,Serbuk Bintang (Stardust),Rp 49.000
642,Di Semesta ini Kita Pernah Gemilang (On Earth We're Briefly Gorgeous),Rp 74.200
643,Pantai Pesisir,Rp 80.000
644,Chronicles Of Natha: Natha Dan Putri Yang Sembunyi,Rp 45.000
645,Jalan Cahaya,Rp 62.400
646,"Mahir Peribahasa, Puisi Baru, Dan Pantun",Rp 40.950
647,Wisecrack,Rp 89.100
648,Himitsu: Rahasia Hadiah Ulang Tahun,Rp 42.750
649,Jemu,Rp 59.400
650,Tempat Paling Sunyi,Rp 71.200
651,The Paper Magician (The Paper Magician #1),Rp 56.000
652,Historical Romance: Tertawan Hasrat (Duke of Desire),Rp 63.000
653,Touch,Rp 152.000
654,Kalandara,Rp 74.250
655,Harap,Rp 69.300
656,World Ghost Stories Asia,Rp 50.000
657,The Chance Its My Turn Now,Rp 89.100
658,Geez & Ann #2,Rp 69.300
659,The Nightingale,Rp 90.240
660,Perjuangan Dan Perlawanan Seorang Feminis Mesir,Rp 70.000
661,Novel The Martyr,Rp 145.000
662,Putri Teladan (The Good Daughter),Rp 122.400
663,Dengannya Tanpamu,Rp 89.910
664,City Lite: Secangkir Kopi dan Pencakar Langit,Rp 80.000
665,Fight For Happiness,Rp 89.910
666,Muhammad: Sang Pewaris Hujan,Rp 179.000
667,Demi Pencitraan (Sex and Vanity),Rp 85.600
668,Stigma,Rp 89.100
669,Pangerang Tak Berharap Mahkota,Rp 90.000
670,Ketika Cinta Bertasbih,Rp 99.000
671,Jihad Lipstik,Rp 135.000
672,Kamu Harus Bahagia,Rp 62.100
673,Indonesia Mengglobal,Rp 80.100
674,Fathur,Rp 89.100
675,Sabai,Rp 89.100
676,The Chorus Girl And Other Stories,Rp 63.000
677,Anno 2020,Rp 35.000
678,Tekad,Rp 79.200
679,Serbuk Bintang (Stardust),Rp 49.000
680,Lupus: Interview with the Nyamuk,Rp 63.200
681,Kumpulan Kisah Penuh Hikmah: 25 Nabi dan Rasul,Rp 86.400
682,50 Doa Sederhana Anak-anak,Rp 76.000
683,Stories for Rainy Days Volume 3,Rp 108.000
684,Low Pressure,Rp 111.200
685,Runtuhnya Dinasti Wang (A House Divided),Rp 101.600
686,Laiqa: Mana Hijrah?!,Rp 65.600
687,The School for Good and Evil 3 - Akhir Bahagia Selamanya,Rp 235.000
688,188 Aktivitas Lengkap Anak Muslim Cerdas,Rp 60.000
689,Sejarah Kenabian,Rp 117.000
690,Sang Ulama Pengerak,Rp 67.500
691,Rahasia Gemini,Rp 89.100
692,Psychic Detective Yakumo 2 : That Which Connects Souls,Rp 78.400
693,9 Bintang Farmasi,Rp 85.500
694,The Nectar Of Pain,Rp 87.500
695,How To Love,Rp 111.600
696,Yuni,Rp 50.400
697,"Cukit, Sang Penyihir dan Sang Naga (The Fork, The Witch and the Worm)",Rp 52.500
698,Something to Remember Me By,Rp 46.000
699,Misi,Rp 98.000
700,Dayon,Rp 89.100
701,Animal Farm,Rp 41.650
702,Respati,Rp 37.500
703,Laskar,Rp 82.025
704,Twivortiare,Rp 79.200
705,Surat Kecil Untuk Tuhan,Rp 53.550
706,Janshen,Rp 64.350
707,Horimiya 05,Rp 25.600
708,Trials Of Apollo #1: The Hidden Orade,Rp 80.100
709,Maryam,Rp 53.600
710,Dalam Kesendirian Kutemukan Kehangatan,Rp 68.000
711,Kota Bandung Dan Biru,Rp 89.100
712,Mada ( New Look ),Rp 89.100
713,"Kingdom Of Arkant Human Series, Book 2: The Game Poison Of Love",Rp 122.400
714,Bunda Aku Nggak Suka Dipukul,Rp 89.550
715,Tukar Tambah Nasib,Rp 103.500
716,A Thousand Forgiveness,Rp 54.400
717,Pintu Tanpa Kunci,Rp 79.200
718,"Farewell, My Lovely: Selamat Tinggal, Sayangku",Rp 76.500
719,Seloka Temon Bin Emboh,Rp 80.100
720,Malam Pertama Calon Pendeta,Rp 80.100
721,Lupus: Interview with the Nyamuk,Rp 63.200
722,A Poem in My Mind,Rp 88.000
723,Kumpulan Kisah Penuh Hikmah: 25 Nabi dan Rasul,Rp 86.400
724,50 Doa Sederhana Anak-anak,Rp 76.000
725,Stories for Rainy Days Volume 3,Rp 108.000
726,Low Pressure,Rp 111.200
727,Runtuhnya Dinasti Wang (A House Divided),Rp 101.600
728,Laiqa: Mana Hijrah?!,Rp 65.600
729,The School for Good and Evil 3 - Akhir Bahagia Selamanya,Rp 235.000
730,188 Aktivitas Lengkap Anak Muslim Cerdas,Rp 60.000
731,Sejarah Kenabian,Rp 117.000
732,Sang Ulama Pengerak,Rp 67.500
733,Rahasia Gemini,Rp 89.100
734,Psychic Detective Yakumo 2 : That Which Connects Souls,Rp 78.400
735,9 Bintang Farmasi,Rp 85.500
736,The Nectar Of Pain,Rp 87.500
737,How To Love,Rp 111.600
738,Yuni,Rp 50.400
739,"Cukit, Sang Penyihir dan Sang Naga (The Fork, The Witch and the Worm)",Rp 52.500
740,Something to Remember Me By,Rp 46.000
741,Misi,Rp 98.000
742,Dayon,Rp 89.100
743,Animal Farm,Rp 41.650
744,Respati,Rp 37.500
745,Laskar,Rp 82.025
746,Twivortiare,Rp 79.200
747,Surat Kecil Untuk Tuhan,Rp 53.550
748,Janshen,Rp 64.350
749,Horimiya 05,Rp 25.600
750,Trials Of Apollo #1: The Hidden Orade,Rp 80.100
751,Maryam,Rp 53.600
752,Dalam Kesendirian Kutemukan Kehangatan,Rp 68.000
753,Gavriell,Rp 80.100
754,Kota Bandung Dan Biru,Rp 89.100
755,Mada ( New Look ),Rp 89.100
756,"Kingdom Of Arkant Human Series, Book 2: The Game Poison Of Love",Rp 122.400
757,Bunda Aku Nggak Suka Dipukul,Rp 89.550
758,Tukar Tambah Nasib,Rp 103.500
759,A Thousand Forgiveness,Rp 54.400
760,Pintu Tanpa Kunci,Rp 79.200
761,"Farewell, My Lovely: Selamat Tinggal, Sayangku",Rp 76.500
762,Seloka Temon Bin Emboh,Rp 80.100
763,Mala Borneo,Rp 134.100
764,The Journey - Becoming An Independent Woman,Rp 67.500
765,Penakluk Cahaya,Rp 85.000
766,Juz 'Amma Untuk Anak Saleh & Salihah,Rp 89.550
767,"Hi Bye My Blue (Bertemu, Berdamai, dan Berpisah dengan Luka)",Rp 68.000
768,Samudra Hindia,Rp 84.150
769,Reset,Rp 71.200
770,Lukisan Dorian Gray : The Picture of Dorian Gray,Rp 71.550
771,Salam Perpisahan Sherlock Holmes : His Last Bow Of Sherlock,Rp 71.550
772,Shaga,Rp 89.100
773,Kasus Aneh Dr.Jekyll & Mr. Hyde,Rp 53.550
774,Redam Temaram,Rp 85.000
775,Museum Lupa : Sebuah Museum Tentang Usaha Melupakan,Rp 41.500
776,Senja dan Pagi,Rp 84.600
777,Buku Cerita Fikih Untuk Anak: Thaharah,Rp 72.000
778,"Lupus: Idiiih, Udah Gede!",Rp 55.200
779,Working With Evil,Rp 71.100
780,Ther Melian: Revelation (Collector Edition),Rp 57.500
781,Two Mothers *Edisi Inggris,Rp 92.800
782,Menggantang Asa Di Temaram Lorosae,Rp 96.000
783,MetroPop: If I Met You First,Rp 71.200
784,Keluarga Cemara#2,Rp 79.200
785,Buku Cerita Sunnah Sesuai Waktu: Sunnah Siang Hari,Rp 68.000
786,"Sastra, Sebuah Jalan Panjang",Rp 58.650
787,Ketika Cinta Bertasbih 2,Rp 90.000
788,Janshen (Repackage),Rp 74.250
789,Deliverance: Dimensional Fugitive,Rp 67.500
790,Never Be Alone,Rp 79.000
791,Assassin's Creed: Last Descendants: Makam Sang Khan (Assassin's Creed: Last Descendants: Tomb of the Khan),Rp 69.300
792,Untukmu Gadis Dewa,Rp 40.500
793,The Seven Dials Mystery (Misteri Tujuh Lonceng),Rp 69.000
794,3 Women & A Guy - Cover Baru,Rp 86.000
795,Satu Hari di 2018 (Edisi Revisi),Rp 53.100
796,Origami Hati,Rp 70.000
797,Nikola Maldini,Rp 84.150
798,Teroka,Rp 89.100
799,True Mothers,Rp 116.000
800,Leander,Rp 89.100
801,Pencuri Amatir 2,Rp 75.000
802,Suddenly Kala Alur Cerita Fana Jadi Kisah Cinta Nyata,Rp 98.100
803,Alster Lake,Rp 89.100
804,Fickle & Brittle,Rp 116.100
805,Gionatan ( Harta Takhta Stella ),Rp 89.100
806,23:59 : Sebuah Novel,Rp 80.100
807,Pencuri Amatir,Rp 65.000
808,"Hold On, It Hurts",Rp 89.100
809,Untukmu Imamku,Rp 89.100
810,Elgara,Rp 89.100
811,Rasi Bintang,Rp 89.100
812,Goodbye Daneil,Rp 89.100
813,The Magic Library,Rp 62.100
814,Dunia Enggak Berputar Buat Kamu Saja,Rp 80.100
815,Sarka,Rp 84.150
816,Tanpa Daya (Hopeless),Rp 95.200
817,Rigel Sang Penyelamat: Planet Misterius,Rp 68.000
818,Jangan Tangisi Kematianku (Sewu Dino),Rp 76.000
819,Warung Bujang,Rp 92.650
820,Tahun Itu Berlalu Begitu Cepat#2 (Fleet of Years#2),Rp 95.200
821,Ihwal Nama Majid Pucuk: Cerpen Pilihan Kompas 2022,Rp 85.500
822,The Clockmaker`s Daughter,Rp 120.000
823,Dua Baskara Satu Cahaya,Rp 76.500
824,City Lite: Best Of Us,Rp 92.000
825,Entropy,Rp 77.400
826,Pacar Pura-Pura (The Spanish Love Deception),Rp 127.200
827,Sang Maha Sentana,Rp 89.910
828,City Lite: Better Than This,Rp 96.000
829,Memoar Sherlock Holmes : The Memoirs Of Sherlock Holmes,Rp 59.500
830,Yellowface,Rp 95.200
831,Suara Benda Berjatuhan (The Sound Of Things Falling),Rp 87.200
832,Tentang Cinta dan Demit-Demit Lainnya (Of Love and Other Demons),Rp 63.200
833,Metropop: The One You Love,Rp 71.200
834,Le Mariage: Privileges,Rp 96.000
835,Classics: Orang-Orang Dublin (Dubliners),Rp 55.200
836,Harlequin Koleksi Istimewa: Lambang Cinta Sang Miliarder Spanyol (The Ring The Spaniard Gave Her),Rp 55.200
837,Cinta Sejati (One True Loves),Rp 79.200
838,"Lit: Jakarta (Sebuah Kisah Tentang Jaka, Arta, Dan Kota Jaka",Rp 68.000
839,Es Krim Pertamaku,Rp 56.950
840,Untukmu Gadis Dewa,Rp 40.500
841,The Seven Dials Mystery (Misteri Tujuh Lonceng),Rp 69.000
842,3 Women & A Guy - Cover Baru,Rp 86.000
843,Satu Hari di 2018 (Edisi Revisi),Rp 53.100
844,Origami Hati,Rp 70.000
845,Nikola Maldini,Rp 84.150
846,Teroka,Rp 89.100
847,True Mothers,Rp 116.000
848,Leander,Rp 89.100
849,Pencuri Amatir 2,Rp 75.000
850,Suddenly Kala Alur Cerita Fana Jadi Kisah Cinta Nyata,Rp 98.100
851,Alster Lake,Rp 89.100
852,Fickle & Brittle,Rp 116.100
853,Gionatan ( Harta Takhta Stella ),Rp 89.100
854,1984,Rp 109.650
855,23:59 : Sebuah Novel,Rp 80.100
856,Pencuri Amatir,Rp 65.000
857,"Hold On, It Hurts",Rp 89.100
858,Untukmu Imamku,Rp 89.100
859,Best Part,Rp 103.200
860,Imama Al-Hafidzh,Rp 84.150
861,Marriage Trial,Rp 84.150
862,Metropop: Wish Me Luck,Rp 63.200
863,Tangerine Green,Rp 63.200
864,Gadis-Gadis Somerset (Somerset Girls),Rp 95.200
865,Sepasang Sepatu Tua,Rp 71.200
866,Karsa,Rp 84.915
867,Saga dari Samudra,Rp 79.200
868,Emerald Pieces: The Stone and the Throne (Emerald Pieces #2),Rp 79.200
869,Bara Api Perlahan (A Slow Fire Burning),Rp 87.200
870,Iridescent,Rp 89.100
871,Vermilion Rain,Rp 71.200
872,The Nightingale (New Edition),Rp 136.000
873,Tiara Retak,Rp 87.200
874,Fairham Island#1: Rahasia Masa Lalu (The Secret Sister),Rp 103.200
875,Fairham Island#2: Rahasia Masa Kini (The Secrets She Kept),Rp 103.200
876,Jangan Diklik#4: Sekala dan Hantu Tanpa Kepala,Rp 71.200
877,Ghosting Writer,Rp 74.400
878,Life as We Know It,Rp 111.200
879,Jejak Kelam (Mean Streak),Rp 103.200
880,Memoar Sherlock Holmes : The Memoirs Of Sherlock Holmes,Rp 59.500
881,Yellowface,Rp 95.200
882,Suara Benda Berjatuhan (The Sound Of Things Falling),Rp 87.200
883,Tentang Cinta dan Demit-Demit Lainnya (Of Love and Other Demons),Rp 63.200
884,Metropop: The One You Love,Rp 71.200
885,Le Mariage: Privileges,Rp 96.000
886,Classics: Orang-Orang Dublin (Dubliners),Rp 55.200
887,Harlequin Koleksi Istimewa: Lambang Cinta Sang Miliarder Spanyol (The Ring The Spaniard Gave Her),Rp 55.200
888,Cinta Sejati (One True Loves),Rp 79.200
889,"Lit: Jakarta (Sebuah Kisah Tentang Jaka, Arta, Dan Kota Jaka",Rp 68.000
890,Mencari Saranjana,Rp 77.000
891,Es Krim Pertamaku,Rp 56.950
892,Little Grey Edisi Baru,Rp 63.200
893,Pit A Pat,Rp 88.000
894,Arunika,Rp 76.500
895,Permata Datchet,Rp 70.000
896,Behind The Screen,Rp 71.200
897,Neroin,Rp 109.000
898,Breakfast At Tiffany'S,Rp 51.000
899,Jogja With Bastian,Rp 84.150
900,Warisan Tumbal Terakhir,Rp 79.200
901,Lalita,Rp 79.200
902,Tuhan Maha Romantis,Rp 71.200
903,My Gus My Husband,Rp 84.150
904,Bukan Salah Hujan (New Edition),Rp 79.200
905,Sea Me Later,Rp 108.000
906,Glitch of Love,Rp 85.500
907,Opposite,Rp 84.150
908,Catatan Pinggir 15,Rp 90.000
909,Book Shamer,Rp 64.000
910,Le Mariage: Di Simpang Jalan Dody & Rhe,Rp 80.000
911,Le Mariage: Born to Love You,Rp 100.000
912,Imama Al-Hafidzh,Rp 84.150
913,Marriage Trial,Rp 84.150
914,Metropop: Wish Me Luck,Rp 63.200
915,Tangerine Green,Rp 63.200
916,Gadis-Gadis Somerset (Somerset Girls),Rp 95.200
917,Sepasang Sepatu Tua,Rp 71.200
918,Karsa,Rp 84.915
919,Saga dari Samudra,Rp 79.200
920,Anthala My Husband Is Badboy,Rp 84.150
921,Extraordinary Z,Rp 89.100
922,Down And Out In Paris And London,Rp 92.650
923,Classics: Lassie Pulang (Lassie Come-Home),Rp 55.200
924,Alezra,Rp 84.150
925,Sekosong Jiwa Kadaver,Rp 112.500
926,Harlequin Koleksi Istimewa: Rahasia Sang Istri (The Innocent's Forgotten Wedding),Rp 55.200
927,Laiqa: Kresek Hitam,Rp 76.000
928,Our Violent Ends,Rp 140.000
929,"MetroPop: Salju di Pantai, Cinta di Scheveningen",Rp 79.200
930,Novel The Enchanted Garden: Rahasia Sang Biru,Rp 79.000
931,Lara Ati,Rp 92.000
932,The Princess Rush Wedding,Rp 94.500
933,Moonbound,Rp 71.200
934,Kisah dari Halaman Belakang,Rp 104.000
935,Orang Keren Tidak Menengok Ke Arah Ledakan Dan Cerita-Cerita Orang Keren Lainnya,Rp 79.200
936,Second Chance,Rp 84.000
937,A Bouquet of Memories and You,Rp 76.000
938,Kondensasi,Rp 55.200
939,Lord of the Darkwood,Rp 63.200
