,title,price
120,A Lovely Thing Called Hope,Rp 81.000
121,Lock Screen,Rp 89.910
122,Cantik Itu Luka (Edisi 20 Tahun),Rp 142.400
123,Sherena,Rp 89.100
124,The Shadow of Sakura (Kasus #3 Sugi dan Laura),Rp 73.600
125,Misteri Andong Pocong : Teror Lonceng Kematian Tengah Malam,Rp 59.500
126,Kost Pak Raden,Rp 89.100
127,Risol Mas Marvel : Extended Version,Rp 89.100
128,Private Bodyguard (Extended Version),Rp 89.100
129,Jane’s Magical Salon,Rp 89.250
130,Her Second Choice,Rp 89.550
131,Tumbal Kosan Bu Andin,Rp 89.100
132,Rewrite My Heart : Extended Version,Rp 89.100
133,You Are The Reason,Rp 89.100
134,Class 7e,Rp 89.100
135,Forever More,Rp 85.500
136,Sarinten : Tumbal Kali Tempur,Rp 80.550
137,Creepy Case Club 6: Kasus Hantu Panggung,Rp 48.000
138,L Change The World,Rp 144.000
139,Lautan dan Dendamnya,Rp 92.000
140,At Bertram's Hotel (Hotel Bertram),Rp 69.000
141,Hidden Beauty,Rp 89.550
142,The Star Diaries: Catatan Perjalanan Angkasa Luar (2024),Rp 119.000
143,Nirmala,Rp 55.200
144,Perempuan dan Anak-Anaknya (2024),Rp 76.000
145,Yang Tertinggal Darinya (Reminders of Him),Rp 87.200
146,Toko Jajanan Ajaib Zenitendo 5,Rp 56.000
147,Babel : Pertumpahan Darah Sejarah Gelap Revolusi,Rp 169.150
148,Algasya,Rp 93.600
149,Pacar Rasa Selingkuhan,Rp 78.400
150,Archipelagos The Serandji Book Of Nusantara 2,Rp 89.100
151,Goodbye Alezra,Rp 84.150
152,TeenLit: A Publicity Stunt,Rp 71.200
153,The Book of Forbidden Feelings,Rp 95.200
154,Derana,Rp 80.100
155,Kita Terlalu Lucu Untuk Diseriusin : “Orang Bukan Siapa-Siapa”,Rp 71.100
156,Hansel Milsya,Rp 89.100
157,Kasus Nona Elliott,Rp 79.200
158,Kiblat Cinta,Rp 99.000
159,Serenada,Rp 79.200
160,Laut Sebelum Pasang,Rp 71.100
161,Dalam Dekapan Cinta Ibu (Kisah-kisah penuh makna para ibu dalam menanti kelahiran dan membersamai buah hati),Rp 64.000
162,Di Waktu Duha,Rp 98.100
163,Matahari Minor,Rp 105.000
164,Arini dan Takdir,Rp 84.150
165,Berdarah Di Atas Kertas,Rp 89.100
166,Loreng & Putih,Rp 85.500
167,Leodan,Rp 84.150
168,About You,Rp 84.150
169,Tangan Kotor Di Balik Layar,Rp 50.150
